event_id,source,site_id,location_name,lat,lon,coord_precision_km,coord_source,datetime_utc,time_precision,species,common_name,taxon_group,ecotype,call_type,n_detections,source_ref
24872,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:07:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24873,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:08:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24874,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:09:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24875,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:10:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,3,Casey2014.Bm.Ant-A.selections.txt
24876,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:12:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24877,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:13:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24878,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:14:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24879,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:15:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24880,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:16:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24881,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:17:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24882,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:18:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24883,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:18:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24884,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:19:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24885,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:19:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24886,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:20:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24887,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:21:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24888,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:23:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24889,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:24:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24890,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:25:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24891,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:26:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24892,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:26:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24893,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:26:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-Z,1,Casey2014.Bm.Ant-Z.selections.txt
24894,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:27:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24895,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:27:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-Z,1,Casey2014.Bm.Ant-Z.selections.txt
24896,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:28:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24897,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:28:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24898,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:29:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,3,Casey2014.Bm.Ant-A.selections.txt
24899,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:30:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24900,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:31:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24901,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:32:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24902,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:32:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24903,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:33:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24904,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:34:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24905,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:35:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24906,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:36:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
