site_id,source,provider,name,lat,lon,coord_precision_km
"watkins:71.0,-40.0",watkins,WHOI Watkins,"80 mi. south of Martha's Vineyard, Massachusetts",71.0,-40.0,60.0
"watkins:72.0,-160.0",watkins,WHOI Watkins,"W Pt. Barrow, Alaska",72.0,-160.0,60.0
"watkins:73.0,-78.0",watkins,WHOI Watkins,"2 mi. N of Pond Inlet, Baffin Island, Canada",73.0,-78.0,60.0
"watkins:74.0,-105.0",watkins,WHOI Watkins,"E Cumins Inlet, Stratton Is., Canada",74.0,-105.0,60.0
"watkins:74.0,-85.0",watkins,WHOI Watkins,"E Cumins Inlet, Stratton Is.",74.0,-85.0,60.0
"watkins:75.0,-75.0",watkins,WHOI Watkins,"N tip of Baffin Island, N.W.T., Canada",75.0,-75.0,60.0
dclde:BarkleyCanyon,dclde,ONC,Barkley Canyon (ONC),48.43,-126.17,1.0
dclde:BoundaryPass,dclde,JASCO_VFPA,Boundary Pass,48.76,-123.07,1.0
dclde:Cpe_Elz,dclde,SIO,Cape Elizabeth HARP,47.36,-124.68,1.0
dclde:Field_HTI,dclde,UAF_NGOS,Kenai Fjords / Prince William Sound (vessel-based),60.15,-147.59,50.0
dclde:Field_SondTrap,dclde,UAF_NGOS,Kenai Fjords / Prince William Sound (vessel-based),60.15,-147.59,50.0
dclde:HE_67391498,dclde,UAF_NGOS,"Hinchinbrook Entrance, PWS",60.31,-146.97,5.0
dclde:HE_67424266,dclde,UAF_NGOS,"Hinchinbrook Entrance, PWS",60.31,-146.97,5.0
dclde:HaroStraitNorth,dclde,JASCO_VFPA,Haro Strait Northbound,48.52,-123.19,1.0
dclde:HaroStraitSouth,dclde,JASCO_VFPA,Haro Strait Southbound,48.52,-123.21,1.0
dclde:KB_5354,dclde,UAF_NGOS,Kachemak Bay,59.88,-151.85,5.0
dclde:KB_67383303,dclde,UAF_NGOS,Kachemak Bay,59.88,-151.85,5.0
dclde:KB_67424266,dclde,UAF_NGOS,Kachemak Bay,59.88,-151.85,5.0
dclde:LimeKiln,dclde,SMRUConsulting,"Lime Kiln Point, San Juan Island",48.51,-123.15,1.0
dclde:MS_5360,dclde,UAF_NGOS,"Montague Strait, PWS",60.18,-147.82,5.0
dclde:MS_671879205,dclde,UAF_NGOS,"Montague Strait, PWS",60.18,-147.82,5.0
